codigo_ibge,nome,uf,regiao_imediata,regiao_intermediaria,latitude,longitude,populacao_2026
2513927,São Bentinho,PB,Pombal,Patos,-6.882692,-37.723692,4506
2513943,São Domingos do Cariri,PB,Campina Grande,Campina Grande,-7.590089,-36.395044,2700
2513968,São Domingos,PB,Pombal,Patos,-6.817409,-37.960000,2612
2513984,São Francisco,PB,Sousa,Sousa - Cajazeiras,-6.629840,-38.053570,3163
2514008,São João do Cariri,PB,Campina Grande,Campina Grande,-7.450043,-36.521843,4348
2514107,São João do Tigre,PB,Monteiro,Campina Grande,-8.130177,-36.800368,4355
2514206,São José da Lagoa Tapada,PB,Sousa,Sousa - Cajazeiras,-6.937293,-38.149233,7234
2514305,São José de Caiana,PB,Itaporanga,Patos,-7.245338,-38.323377,4904
2514404,São José de Espinharas,PB,Patos,Patos,-6.792260,-37.387440,4015
2514453,São José dos Ramos,PB,Itabaiana,João Pessoa,-7.240817,-35.370058,6167
2514503,São José de Piranhas,PB,Cajazeiras,Sousa - Cajazeiras,-7.115333,-38.506029,19571
2514552,São José de Princesa,PB,Princesa Isabel,Patos,-7.712387,-38.098233,3267
2514602,São José do Bonfim,PB,Patos,Patos,-7.149142,-37.307350,3341
2514651,São José do Brejo do Cruz,PB,Catolé do Rocha - São Bento,Patos,-6.236480,-37.342587,1753
2514701,São José do Sabugi,PB,Patos,Patos,-6.830392,-36.821217,4295
2514800,São José dos Cordeiros,PB,Sumé,Campina Grande,-7.410825,-36.852119,3450
2514909,São Mamede,PB,Patos,Patos,-6.925968,-37.087127,7619
2515005,São Miguel de Taipu,PB,João Pessoa,João Pessoa,-7.240337,-35.203375,7326
2515104,São Sebastião de Lagoa de Roça,PB,Campina Grande,Campina Grande,-7.084500,-35.866020,11407
2515203,São Sebastião do Umbuzeiro,PB,Monteiro,Campina Grande,-8.164987,-37.020391,3388
2515302,Sapé,PB,João Pessoa,João Pessoa,-7.042240,-35.199293,53598
2515401,São Vicente do Seridó,PB,Campina Grande,Campina Grande,-6.904307,-36.445564,10683
2515500,Serra Branca,PB,Sumé,Campina Grande,-7.566311,-36.725789,14185
2515609,Serra da Raiz,PB,Guarabira,João Pessoa,-6.695443,-35.444486,3150
2515708,Serra Grande,PB,Cajazeiras,Sousa - Cajazeiras,-7.224189,-38.385022,3068
2515807,Serra Redonda,PB,Campina Grande,Campina Grande,-7.175725,-35.657000,6967
2515906,Serraria,PB,Guarabira,João Pessoa,-6.828012,-35.624662,4673
2515930,Sertãozinho,PB,Guarabira,João Pessoa,-6.746083,-35.429500,5378
2515971,Sobrado,PB,João Pessoa,João Pessoa,-7.183067,-35.268978,8709
